GRUP;SOV_REF;ORDER_REF;SOV_TST;ORDER_TST;BLEU;BERT_F1;REF_CUMLE;TST_CUMLE
C;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.66;['O', 'O', 'O', 'O', 'S', 'V'];0.45499414040480374;0.8944;Öneriler yönetim kurulu tarafından tüm incelendi.;Yönetim kurulu tarafından tüm öneriler inceleniyor.
C;0.0;['O', 'V', 'S'];0.99;['O', 'S', 'O', 'O', 'O', 'V', 'O'];1.5319719891192393e-231;0.8903;Detaylı şekilde çalışmalar raporlandı.;Tüm çalışmalar detaylı bir şekilde rapor edildi.
C;0.66;['O', 'O', 'O', 'O', 'S', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];0.45499414040480374;0.8636;Akademik çevreler tarafından dikkatle makaleler değerlendirildi.;Makaleler akademik çevreler tarafından dikkatle değerlendirilir.
C;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'V'];7.600394483915427e-155;0.8448;Kapsamlı stratejilerle desteklendi belirtilen hedefler.;Geniş stratejilerle desteklenmiş hedefler.
C;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.66;['O', 'S', 'V', 'O'];6.686701276748014e-155;0.7822;Tüm test süreçlerinden geçti yeni yazılım.;Yeni yazılım test edildi.
C;0.0;['O', 'O', 'V', 'O', 'S'];0.33;['O', 'O', 'O', 'O', 'V'];7.262123179505913e-78;0.8979;Öğretmenler tarafından ödüllendirildi öğrenci projeleri.;Öğretmenler tarafından önerilen öğrenci projeleri.
C;0.66;['O', 'O', 'O', 'S', 'V'];0.99;['O', 'S', 'O', 'V'];8.167155382413152e-155;0.8815;Canlı yayınla spor karşılaşmaları sunuldu.;Spor karşılaşmaları canlı yayınlandı.
C;0.0;['O', 'O', 'O', 'V', 'O', 'S'];0.99;['O', 'S', 'O', 'O', 'O', 'V'];6.608446987146148e-78;0.9326;Büyük bir organizasyonla gerçekleştirildi kitap lansmanı.;Kitap lansmanı büyük bir organizasyonla yapıldı.
C;0.66;['O', 'O', 'O', 'O', 'S', 'V'];0.99;['O', 'S', 'O', 'V'];6.222676699505816e-155;0.8438;Uzmanlar tarafından dikkatle günlük analizler yapıldı.;Günlük analizler uzmanlardan geldi.
C;0.0;['V', 'O', 'O', 'O'];0.66;['O', 'O', 'O', 'S', 'V'];4.947126313800877e-78;0.8428;Kayıt altına alındı konferanstaki tüm konuşmalar.;Konferanstaki tüm konuşmalar kaydedildi.
C;0.0;['O', 'O', 'V', 'O', 'S', 'O'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];8.761982757198608e-155;0.8465;Yeni kararlar duyuruldu yönetim ekibi tarafından.;Yönetim kurulu tarafından yeni kararlar alındı.
C;0.0;['V', 'O', 'O', 'S', 'O', 'O'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];8.761982757198608e-155;0.8931;Revize edildi eğitim programları öğretmenler tarafından.;Öğretmen tarafından Revize edilmiş Eğitim programları.
D;0.33;['O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];1.1862800137389335e-154;0.9659;Bugün sınav sonuçlarını öğrenciler aldılar.;Bugün öğrenciler sınav sonuçlarını aldılar.
D;0.0;['O', 'O', 'V', 'O', 'S'];0.66;['S', 'V', 'O'];9.013778876140909e-155;0.8806;Yeni keşifler yaptılar bilim insanları.;Bilim adamları yeni keşifler yaptı.
D;0.33;['O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'V'];9.975386110402101e-155;0.8958;Yeni projeleri belediye duyurdu.;Belediye yeni projeleri açıkladı.
D;0.99;['O', 'O', 'O', 'S', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'V'];5.971405938334709e-78;0.9165;Büyük bir heyecanla sporcular yarışa başladı.;Sporcular büyük bir heyecanla yarışa başladılar.
D;0.33;['O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'V'];9.283142785759642e-155;0.8153;Çekimleri film ekibi tamamladı.;Film ekibi çekimlerini bitirdi.
D;0.33;['O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'V'];1.0;1.0000;Yeni kitabını yazar tanıttı.;Yeni kitabını yazar tanıttı.
D;0.0;['O', 'O', 'O', 'O', 'O', 'V', 'O'];0.0;['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O'];0.4347208719449914;0.8925;Hastaya doktor önemli bilgiler verdi.;Doktor hastayla ilgili önemli bilgiler verdi.
D;0.66;['S', 'V', 'O', 'O'];0.99;['S', 'O', 'O', 'O', 'V'];1.5319719891192393e-231;0.8214;Şirket yöneldi yeni yatırımlara.;Şirket yeni yatırımlar yapmaya başladı.
D;0.33;['O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];1.312834642906688e-154;0.9423;Yeni ürünleri teknoloji firması tanıttı.;Teknoloji firması yeni ürünleri tanıttı.
D;0.99;['O', 'S', 'O', 'O', 'V'];0.99;['O', 'O', 'S', 'O', 'O', 'O', 'V'];7.711523862191631e-155;0.7986;Konserlerinde sanatçılar büyük beğeni topladı.;Konserdeki sanatçılar büyük bir hayrana sahip.
D;0.33;['O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'V'];7.380245217279165e-78;0.9453;Üretim kapasitesini fabrika artırdı.;Üretim kapasitesini fabrika arttırdı.
D;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.0;['O', 'O', 'O', 'O', 'V', 'O'];0.4347208719449914;0.9246;Şehrin en ünlü yerlerini turistler gezdi.;Şehrin en ünlü yerlerini ziyaret etti.
D;0.0;['O', 'O', 'O', 'O', 'O', 'V', 'O'];0.0;['O', 'O', 'O', 'O', 'V', 'O'];7.070696784820904e-78;0.9506;Öğrencilere önemli dersler öğretmen verdi.;Öğrencilere önemli dersler verdi.
D;0.33;['O', 'O', 'O', 'V'];0.33;['O', 'O', 'V'];1.0497255803085492e-154;0.9361;Projelerini başarıyla çalışanlar tamamladı.;Projelerini başarıyla tamamladı.
D;0.66;['O', 'O', 'S', 'V', 'O'];0.0;['O', 'O', 'O', 'O', 'O', 'V', 'O'];1.5319719891192393e-231;0.8233;Verileri detaylıca araştırmacılar analiz etti.;Araştırmacılar verileri detaylı bir şekilde analiz ettiler.
D;0.99;['O', 'S', 'O', 'S', 'V', 'O'];0.99;['O', 'S', 'O', 'O', 'V'];6.206021746903507e-78;0.8820;Yeni üyeler spor kulübü kazandı.;Yeni üyeler spor kulübünü yönetiyor.
D;0.99;['O', 'S', 'O', 'V'];0.99;['S', 'O', 'O', 'V'];1.6034157163765524e-231;0.7944;İnovatif çözümler mühendisler geliştirdi.;Mühendisler yeni çözümler geliştirdiler.
D;0.99;['O', 'O', 'S', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];9.013778876140909e-155;0.8750;Seminerde büyük katkılar eğitimciler sundular.;Seminerde büyük katkılarda bulunan eğitimciler.
D;0.33;['O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];1.312834642906688e-154;0.9541;Piyasa verilerini ekonomi uzmanları yorumladı.;Ekonomi uzmanları piyasa verilerini yorumladı.
D;0.66;['O', 'O', 'O', 'S', 'V'];0.99;['S', 'O', 'O', 'V'];9.711929667259895e-232;0.7729;Etkinlikte aktif olarak katılımcılar yer aldı.;Katılımcılar etkinlik boyunca aktiftiler.
E;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];6.313993041533344e-78;0.9179;Araştırma projesi kapsamlı öğrenciler hazırladılar.;Araştırma projesi için büyük öğrenciler hazırladılar.
E;0.0;['O', 'O', 'O', 'O', 'V', 'O', 'O', 'O'];0.66;['S', 'V', 'O', 'O', 'O', 'O'];7.657404561915943e-155;0.8244;Yeni çalışmalar bilim insanları sundu çevre kirliliği üzerine.;Bilim adamları çevre kirliliğiyle ilgili yeni çalışmalar sunuyorlar.
E;0.33;['O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];5.467133248249545e-155;0.8087;İnovatif stratejiler geliştirerek pazara şirket yöneticileri yön verdi.;Şirket yöneticileri yenilikçi stratejiler geliştirdiler.
E;0.99;['O', 'O', 'O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];0.4671379777282001;0.9540;Yeni bir mobil uygulama yazılım mühendisleri geliştirdiler.;Yazılım mühendisleri yeni bir mobil uygulama geliştirdiler.
E;0.33;['O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];6.562069055463047e-78;0.8836;Turnuvaya yoğun antrenmanlarla sporcular hazırlandılar.;Sporcular turnuvaya yoğun antrenmanlarla hazırlanırlardı.
E;0.66;['O', 'O', 'O', 'S', 'S', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.5081327481546147;0.9354;Sağlık konferansında değerli bilgiler doktorlar sundular.;Doktorlar sağlık konferansında değerli bilgiler sundular.
E;0.33;['O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];7.600793306264725e-78;0.9583;Edebiyat festivalinde eserlerini yazarlar tanıttılar.;Yazarlar edebiyat festivalinde eserlerini tanıttılar.
E;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];7.100514228897259e-155;0.8591;İklim değişikliğine ilişkin verileri araştırmacılar değerlendirdiler.;Araştırmacılar iklim değişikliğinin verilerini değerlendirdiler.
E;0.99;['O', 'O', 'S', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];1.0719249972567852e-154;0.8651;Derslerde interaktif yöntemler eğitimciler kullandılar.;Öğretmenlik yaparken interaktif yöntemler kullandılar.
E;0.99;['O', 'O', 'O', 'O', 'S', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.6147881529512643;0.9711;Yeşil alanları artırmak için belediye yeni planlar hazırladı.;Belediye yeşil alanları artırmak için yeni planlar hazırladı.
E;0.99;['O', 'O', 'S', 'O', 'S', 'V'];0.99;['O', 'O', 'S', 'O', 'V'];7.629999090858336e-155;0.8780;Yaratıcı öğrenme teknikleri öğrencilere öğretmenler sundular.;Yaratıcı öğrenme testleri öğrencilere öğrettiler.
E;0.33;['O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'V'];1.0269654203261184e-154;0.8985;Sergileri müze çalışanları ziyaretçilere tanıttılar.;Müze çalışanları sergileri tanıttılar.
E;0.99;['O', 'O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V', 'O'];8.286571670851008e-155;0.8280;Gösterilerine tiyatro oyuncuları büyük özen gösterdiler.;Tiyatro oyuncuları gösterilerine çok dikkat ettiler.
E;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.5081327481546147;0.9298;Yeni iş fikirlerini yatırımcılara girişimciler sundular.;Girişimciler yeni iş fikirlerini yatırımcılara sundular.
E;0.99;['O', 'O', 'O', 'S', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];0.5115078115793242;0.9532;Şehrin modernleşmesi için projeler mimarlar geliştirdiler.;Şehrin modernleşmesi için projeler geliştirdiler.
E;0.99;['O', 'O', 'O', 'O', 'S', 'O', 'V'];0.99;['O', 'S', 'O', 'V', 'O', 'S', 'O'];7.176381577237209e-155;0.8306;Etkinlikler düzenleyerek öğrenci kulüpleri katılımcıları ağırladılar.;Öğrenci kulüpleri etkinlik düzenledi ve öğrenciler katıldı.
E;0.99;['O', 'O', 'O', 'O', 'S', 'O', 'V'];0.99;['O', 'O', 'O', 'O', 'S', 'O', 'V'];0.3303164318013807;0.9238;Sürdürülebilir enerji kaynaklarını inceleyerek çevreciler öneriler sundular.;Sürdürülebilir enerji kaynaklarını inceleyerek, çevreciler önerilerde bulundular.
E;0.99;['O', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'V'];0.66;['O', 'O', 'S', 'V', 'O', 'O', 'O', 'O', 'O'];0.46924700641056;0.9066;Küresel sorunları tartışmak için üniversite akademisyenleri bir araya geldiler.;Üniversitedeki bilim adamları küresel sorunları tartışmak için bir araya geldiler.
E;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];9.712439290098357e-155;0.9007;Önemli röportajlarla gündemi gazeteciler şekillendirdiler.;Gazetecileri önemli röportajlarla şekillendirdiler.
E;0.99;['O', 'S', 'O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];7.711523862191631e-155;0.9177;Ekonomik reformlar hakkında görüşmeler iş insanları yaptılar.;Ekonomik reformlar hakkındaki görüşmeleri iş adamları yaptı.
E;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'O', 'S', 'O', 'V'];1.0041643522329937e-154;0.9489;Şiir dinletilerinde izleyicilere eserlerini şairler sundular.;Şiir dinletilerinde şairler eserlerini sundular.
E;0.99;['O', 'S', 'O', 'S', 'O', 'V'];0.0;['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O'];5.30941411456236e-78;0.9010;Dijital kampanyalar hakkında bilgilendirme sosyal medya uzmanları yaptılar.;Dijital kampanyalar hakkında bilgi veren sosyal medya uzmanlarıydı.
E;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'V'];5.230949200823748e-78;0.9042;Topluluk projelerinde aktif rol gönüllüler aldılar.;Topluluk projelerinde aktif gönüllüler.
E;0.66;['O', 'O', 'O', 'S', 'V'];0.33;['O', 'O', 'V'];6.397495320955232e-155;0.8880;Uluslararası festivallere film yapımcıları katıldılar.;Uluslararası festivallere katılırlar.
E;0.99;['O', 'O', 'O', 'O', 'O', 'S', 'O', 'O', 'V'];0.99;['O', 'O', 'O', 'O', 'S', 'O', 'O', 'V', 'O'];0.29558013016570783;0.9501;Atletlerin performansını geliştirmek için spor koçları özel eğitimler verdiler.;Atletlerin performansını geliştirmek için koçlar özel eğitim verdi.
E;0.99;['O', 'O', 'O', 'S', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];1.04198122363916e-154;0.8750;Teknoloji destekli öğrenme sistemleri eğitimciler tasarladılar.;Öğretmen ve teknoloji öğrenme sistemleri tasarladılar.
E;0.0;['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O'];0.99;['S', 'O', 'O', 'O', 'O', 'V', 'O'];7.608275356562258e-78;0.9388;Önemli arşiv belgelerini tarihçiler derinlemesine analiz ettiler.;Tarihçiler önemli arşiv belgelerini analiz ettiler.
E;0.33;['O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'V', 'O'];6.10669334877734e-78;0.9189;Bireysel gelişim süreçleri üzerine psikologlar çalışmalar yaptılar.;Psikologlar bireysel gelişim süreci üzerine çalışmalar yaptılar.
E;0.0;['O', 'O', 'O', 'V', 'O', 'S'];0.0;['O', 'O', 'O', 'V', 'O'];0.6731821382417487;0.9368;Yapay zeka algoritmalarını optimize ettiler programcılar.;Yapay zeka algoritmalarını optimize ettiler.
E;0.33;['O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V', 'O', 'O', 'O'];7.051402097550211e-78;0.9072;Yeni grafik trendlerini tasarımcılar incelerek projelerini güncellediler.;Tasarımcılar yeni grafik trendlerini incelediler ve projelerini güncellediler.
E;0.99;['O', 'O', 'S', 'O', 'O', 'V'];0.99;['O', 'O', 'S', 'O', 'O', 'V'];0.488923022434901;0.9667;Sanat galerilerinde ressamlar yeni eserlerini sergilediler.;Sanat galerilerinde ressamlar yeni sanatlarını sergilediler.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'O', 'V'];5.518020345386123e-78;0.9162;İnovatif çözümler üreticiler geliştirdiler çevre dostu materyaller kullanarak.;İnovatif çözümler geliştirdiler, çevre dostu materyaller kullandılar.
E;0.99;['O', 'S', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'S', 'O', 'O', 'V'];0.36889397323344053;0.9497;Farklı melodiler müzisyenler kültürel etkinliklerde sundular.;Farklı melodiler, müzisyenler, kültürel etkinliklerde sundular.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.36741454942156665;0.9159;Yeni yasaları hukuk uzmanları değerlendirerek akademik makaleler yazdılar.;Yeni yasaları değerlendirirken akademik makaleler yazdılar.
E;0.99;['O', 'O', 'O', 'O', 'O', 'S', 'O', 'V'];0.0;['O', 'O', 'O', 'O', 'O', 'O', 'V', 'S'];1.5319719891192393e-231;0.8943;Uzay keşifleri üzerine kapsamlı raporlar astronomlar hazırladılar.;Uzay keşfi hakkında çok detaylı raporlar hazırladılar, astronomlar.
E;0.33;['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];7.711523862191631e-155;0.8909;Piyasadaki değişimleri ekonomistler analiz ederek tahminler yaptılar.;ekonomistler piyasanın değişimlerini analiz ederek tahminlerde bulundular.
E;0.99;['O', 'O', 'O', 'O', 'O', 'S', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];0.37707945965932077;0.9047;Kendi markalarını yaratmak için genç girişimciler çalışmalar yürüttüler.;Genç girişimciler kendi markalarını yaratmak için çalıştılar.
E;0.99;['O', 'O', 'O', 'S', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];7.241926111174567e-155;0.8376;Şehir manzaralarını yakalayarak sergiler fotoğrafçılar düzenlediler.;Şehir manzaralarını fotoğraflayan ve sergiler açan fotoğrafçılar olarak birleştiler.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];8.57273414893938e-155;0.8959;Motivasyon konuşmaları eğitmenler seminerlerinde kişisel gelişim yaptılar.;Motivasyon konuşmaları, eğitmen seminerlerinde, kişisel gelişim konuşmalarında yapılır.
E;0.99;['O', 'O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];5.253283993027542e-78;0.9361;Restoranlarda mutfak şefleri özel menüler oluşturdular.;Restoranların şefleri özel menüler oluştururlar.
E;0.99;['O', 'O', 'S', 'O', 'O', 'O', 'O', 'V'];0.66;['S', 'V', 'O', 'O', 'O'];0.34329452398451965;0.9399;Bilim insanlarını üniversiteler akademik konferanslarla bir araya getirdiler.;Üniversiteler bilim adamlarını akademik konferanslarda bir araya getirdiler.
E;0.0;['O', 'O', 'O', 'O', 'V', 'O', 'O'];0.99;['O', 'S', 'O', 'O', 'V'];1.0041643522329937e-154;0.8632;Takımların performansını spor analistleri değerlendirdiler detaylıca.;Spor analistleri takımların performansını değerlendirdiler.
E;0.99;['O', 'O', 'O', 'S', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];5.705336763108155e-78;0.9178;Uluslararası ilişkiler üzerine toplantılar diplomatlar gerçekleştirdiler.;Uluslararası ilişkiler üzerine diplomatlar toplantısı yaptılar.
E;0.33;['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];5.30941411456236e-78;0.8898;Sürdürülebilir enerji çözümleri üzerine çevre mühendisleri öneriler sundular.;Çevre mühendisleri sürdürülebilir enerji çözümleri için önerilerde bulundular.
E;0.99;['O', 'S', 'O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'V'];5.185404073830853e-78;0.9054;Özel eserler sanat koleksiyoncuları müzayede etkinliklerinde satın aldılar.;Sanat koleksiyoncuları müzayedelerde özel eserleri satın aldılar.
E;0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];7.629999090858336e-155;0.8482;Hayvan sağlığı üzerine bilgilendirme veterinerler yaptılar.;Hayvan sağlığı konusunda bilgili veterinerler.
E;0.99;['O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];8.52863367187932e-155;0.8705;Yeni araç modelleri otomotiv tasarımcıları geliştirmek için çalışmalar yürüttüler.;Otomotiv tasarımcıları yeni araçlar modeli geliştirmek için çalışıyordu.
E;0.99;['O', 'O', 'O', 'O', 'O', 'O', 'S', 'O', 'V'];0.99;['O', 'O', 'S', 'O', 'O', 'O', 'O', 'V'];0.4234197579236933;0.9540;Siber tehditleri analiz ederek bilgi güvenliği uzmanları önlemler aldılar.;Bilgi güvenliği uzmanları siber tehditleri analiz ederek önlem aldılar.
E;0.99;['O', 'O', 'O', 'O', 'S', 'O', 'O', 'V'];0.99;['O', 'O', 'O', 'O', 'S', 'O', 'O', 'V', 'O'];9.860044343608264e-155;0.8823;Yerel projeleri destekleyerek topluluk liderleri toplumun gelişimine katkı sağladılar.;Yerel projeleri destekleyen topluluk liderleri, toplumun gelişimine katkıda bulundular.
E;0.0;['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O'];0.33;['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];4.661032518640916e-78;0.9073;Turistlere kültürel miras hakkında rehberlik gezi rehberleri ettiler.;Turistlere kültürel miras konusunda rehberlik etmek için gezi rehberleri kullandılar.
