GRUP;SOV_REF;ORDER_REF;SOV_TST;ORDER_TST;BLEU;BERT_F1;REF_CUMLE;TST_CUMLE
B;0.99;['O', 'S', 'O', 'O', 'V'];0.66;['O', 'O', 'O', 'S', 'V'];1.133422688662942e-154;0.8858;Proje toplantıları geçen hafta tamamlandı.;Geçen hafta proje toplantıları bitmişti.
B;0.99;['O', 'S', 'O', 'V', 'O'];0.99;['O', 'S', 'O', 'V', 'O'];7.262123179505913e-78;0.9662;Araştırma verileri özenle analiz edildi.;Araştırma verileri dikkatlice analiz edildi.
C;0.99;['O', 'O', 'S', 'O', 'O', 'O', 'V'];0.66;['O', 'O', 'O', 'O', 'O', 'S', 'V'];8.531468375170499e-78;0.9622;Yeni şehir planları uzman ekip tarafından onaylandı.;Uzman ekip tarafından yeni şehir planları onaylandı.
C;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.66;['O', 'O', 'O', 'S', 'V', 'O'];5.253283993027542e-78;0.8867;Konser biletleri geçen hafta hızla tükenmişti.;Geçen hafta hızla biletler tükendi.
C;0.99;['O', 'O', 'O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];7.711523862191631e-155;0.8489;Sergideki sanat eserleri büyük ilgiyle izlendi.;Sanat eserleri sergide büyük bir ilgi gördü.
C;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.66;['O', 'O', 'O', 'O', 'S', 'V'];6.608446987146148e-78;0.9360;Tüm öneriler yönetim kurulu tarafından incelendi.;Yönetim kurulu tarafından tüm öneriler inceleniyor.
C;0.99;['S', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'V', 'O'];0.3655552228545123;0.9475;Çalışmalar detaylı bir şekilde raporlandı.;Tüm çalışmalar detaylı bir şekilde rapor edildi.
C;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];0.6434588841607617;0.9728;Makaleler akademik çevreler tarafından dikkatle değerlendirildi.;Makaleler akademik çevreler tarafından dikkatle değerlendirilir.
C;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'V'];1.3127657569660467e-231;0.8374;Belirtilen hedefler kapsamlı stratejilerle desteklendi.;Geniş stratejilerle desteklenmiş hedefler.
C;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.66;['O', 'S', 'V', 'O'];6.686701276748014e-155;0.8208;Yeni yazılım tüm test süreçlerinden geçti.;Yeni yazılım test edildi.
C;0.99;['O', 'S', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];1.133422688662942e-154;0.8467;Öğrenci projeleri öğretmenler tarafından ödüllendirildi.;Öğretmenler tarafından önerilen öğrenci projeleri.
C;0.99;['O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'V'];6.042433724643145e-78;0.9082;Spor karşılaşmaları canlı yayınla sunuldu.;Spor karşılaşmaları canlı yayınlandı.
C;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.6434588841607617;0.9890;Kitap lansmanı büyük bir organizasyonla gerçekleştirildi.;Kitap lansmanı büyük bir organizasyonla yapıldı.
C;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'V'];6.222676699505816e-155;0.8897;Günlük analizler uzmanlar tarafından dikkatle yapıldı.;Günlük analizler uzmanlardan geldi.
C;0.66;['O', 'O', 'O', 'S', 'V'];0.66;['O', 'O', 'O', 'S', 'V'];4.947126313800877e-78;0.9055;Konferanstaki tüm konuşmalar kayıt altına alındı.;Konferanstaki tüm konuşmalar kaydedildi.
C;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];8.761982757198608e-155;0.8710;Yeni kararlar yönetim ekibi tarafından duyuruldu.;Yönetim kurulu tarafından yeni kararlar alındı.
C;0.99;['O', 'S', 'S', 'O', 'V', 'O'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];1.04198122363916e-154;0.8092;Eğitim programları öğretmenler tarafından revize edildi.;Öğretmen tarafından Revize edilmiş Eğitim programları.
D;0.99;['S', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];7.600793306264725e-78;0.9525;Öğrenciler sınav sonuçlarını bugün aldılar.;Bugün öğrenciler sınav sonuçlarını aldılar.
D;0.99;['O', 'S', 'O', 'O', 'V'];0.66;['S', 'V', 'O'];9.013778876140909e-155;0.9569;Bilim insanları yeni keşifler yaptılar.;Bilim adamları yeni keşifler yaptı.
D;0.99;['S', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'V'];7.380245217279165e-78;0.9723;Belediye yeni projeleri duyurdu.;Belediye yeni projeleri açıkladı.
D;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'V'];5.971405938334709e-78;0.9453;Sporcular yarışa büyük bir heyecanla başladı.;Sporcular büyük bir heyecanla yarışa başladılar.
D;0.99;['O', 'S', 'O', 'V'];0.99;['O', 'S', 'O', 'V'];9.283142785759642e-155;0.9321;Film ekibi çekimleri tamamladı.;Film ekibi çekimlerini bitirdi.
D;0.99;['S', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'V'];1.254338396921439e-154;0.9341;Yazar yeni kitabını tanıttı.;Yeni kitabını yazar tanıttı.
D;0.99;['S', 'O', 'O', 'O', 'O', 'V', 'O'];0.0;['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O'];0.4347208719449914;0.9108;Doktor hastaya önemli bilgiler verdi.;Doktor hastayla ilgili önemli bilgiler verdi.
D;0.99;['S', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];8.38826642100846e-155;0.8917;Şirket yeni yatırımlara yöneldi.;Şirket yeni yatırımlar yapmaya başladı.
D;0.99;['O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];1.0;1.0000;Teknoloji firması yeni ürünleri tanıttı.;Teknoloji firması yeni ürünleri tanıttı.
D;0.33;['O', 'O', 'O', 'O', 'V'];0.99;['O', 'O', 'S', 'O', 'O', 'O', 'V'];1.4740564900137075e-231;0.7731;Sanatçılar konserlerinde büyük beğeni topladı.;Konserdeki sanatçılar büyük bir hayrana sahip.
D;0.33;['O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'V'];9.975386110402101e-155;0.8881;Fabrika üretim kapasitesini artırdı.;Üretim kapasitesini fabrika arttırdı.
D;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.0;['O', 'O', 'O', 'O', 'V', 'O'];0.4347208719449914;0.9051;Turistler şehrin en ünlü yerlerini gezdi.;Şehrin en ünlü yerlerini ziyaret etti.
D;0.0;['O', 'O', 'O', 'O', 'O', 'V', 'O'];0.0;['O', 'O', 'O', 'O', 'V', 'O'];0.8187307530779819;0.9326;Öğretmen öğrencilere önemli dersler verdi.;Öğrencilere önemli dersler verdi.
D;0.99;['S', 'O', 'O', 'V'];0.33;['O', 'O', 'V'];0.7788007830714049;0.8797;Çalışanlar projelerini başarıyla tamamladı.;Projelerini başarıyla tamamladı.
D;0.99;['S', 'O', 'O', 'V', 'O'];0.0;['O', 'O', 'O', 'O', 'O', 'V', 'O'];7.711523862191631e-155;0.9213;Araştırmacılar verileri detaylıca analiz etti.;Araştırmacılar verileri detaylı bir şekilde analiz ettiler.
D;0.99;['O', 'S', 'O', 'O', 'V', 'O'];0.99;['O', 'S', 'O', 'O', 'V'];9.013778876140909e-155;0.8420;Spor kulübü yeni üyeler kazandı.;Yeni üyeler spor kulübünü yönetiyor.
D;0.99;['S', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'V'];1.6034157163765524e-231;0.8324;Mühendisler inovatif çözümler geliştirdi.;Mühendisler yeni çözümler geliştirdiler.
D;0.99;['S', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];9.013778876140909e-155;0.8682;Eğitimciler seminerde büyük katkılar sundular.;Seminerde büyük katkılarda bulunan eğitimciler.
D;0.99;['O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];1.0;1.0000;Ekonomi uzmanları piyasa verilerini yorumladı.;Ekonomi uzmanları piyasa verilerini yorumladı.
D;0.99;['S', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'V'];9.711929667259895e-232;0.8337;Katılımcılar etkinlikte aktif olarak yer aldı.;Katılımcılar etkinlik boyunca aktiftiler.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];1.04198122363916e-154;0.8574;Öğrenciler kapsamlı bir araştırma projesi hazırladılar.;Araştırma projesi için büyük öğrenciler hazırladılar.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.66;['S', 'V', 'O', 'O', 'O', 'O'];7.657404561915943e-155;0.9062;Bilim insanları çevre kirliliği üzerine yeni çalışmalar sundu.;Bilim adamları çevre kirliliğiyle ilgili yeni çalışmalar sunuyorlar.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];5.467133248249545e-155;0.8277;Şirket yöneticileri inovatif stratejiler geliştirerek pazara yön verdi.;Şirket yöneticileri yenilikçi stratejiler geliştirdiler.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];1.0;1.0000;Yazılım mühendisleri yeni bir mobil uygulama geliştirdiler.;Yazılım mühendisleri yeni bir mobil uygulama geliştirdiler.
E;0.99;['S', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];9.53091075863908e-155;0.9411;Sporcular yoğun antrenmanlarla turnuvaya hazırlandılar.;Sporcular turnuvaya yoğun antrenmanlarla hazırlanırlardı.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'V'];1.0;1.0000;Doktorlar sağlık konferansında değerli bilgiler sundular.;Doktorlar sağlık konferansında değerli bilgiler sundular.
E;0.99;['S', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];1.0;1.0000;Yazarlar edebiyat festivalinde eserlerini tanıttılar.;Yazarlar edebiyat festivalinde eserlerini tanıttılar.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V'];9.073649206312902e-155;0.9348;Araştırmacılar iklim değişikliğine ilişkin verileri değerlendirdiler.;Araştırmacılar iklim değişikliğinin verilerini değerlendirdiler.
E;0.99;['S', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];0.5081327481546147;0.8761;Eğitimciler derslerde interaktif yöntemler kullandılar.;Öğretmenlik yaparken interaktif yöntemler kullandılar.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];1.0;1.0000;Belediye yeşil alanları artırmak için yeni planlar hazırladı.;Belediye yeşil alanları artırmak için yeni planlar hazırladı.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'O', 'S', 'O', 'V'];7.629999090858336e-155;0.8566;Öğretmenler öğrencilere yaratıcı öğrenme teknikleri sundular.;Yaratıcı öğrenme testleri öğrencilere öğrettiler.
E;0.99;['O', 'S', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'V'];7.070696784820904e-78;0.9501;Müze çalışanları sergileri ziyaretçilere tanıttılar.;Müze çalışanları sergileri tanıttılar.
E;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V', 'O'];5.395774370246974e-78;0.9031;Tiyatro oyuncuları gösterilerine büyük özen gösterdiler.;Tiyatro oyuncuları gösterilerine çok dikkat ettiler.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'V'];1.0;1.0000;Girişimciler yeni iş fikirlerini yatırımcılara sundular.;Girişimciler yeni iş fikirlerini yatırımcılara sundular.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];0.846481724890614;0.9530;Mimarlar şehrin modernleşmesi için projeler geliştirdiler.;Şehrin modernleşmesi için projeler geliştirdiler.
E;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'V', 'O', 'S', 'O'];7.176381577237209e-155;0.8541;Öğrenci kulüpleri etkinlikler düzenleyerek katılımcıları ağırladılar.;Öğrenci kulüpleri etkinlik düzenledi ve öğrenciler katıldı.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'O', 'O', 'O', 'S', 'O', 'V'];0.3303164318013807;0.8977;Çevreciler sürdürülebilir enerji kaynaklarını inceleyerek öneriler sundular.;Sürdürülebilir enerji kaynaklarını inceleyerek, çevreciler önerilerde bulundular.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.66;['O', 'O', 'S', 'V', 'O', 'O', 'O', 'O', 'O'];0.6786502681586727;0.9319;Üniversite akademisyenleri küresel sorunları tartışmak için bir araya geldiler.;Üniversitedeki bilim adamları küresel sorunları tartışmak için bir araya geldiler.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'V'];9.712439290098357e-155;0.9299;Gazeteciler önemli röportajlarla gündemi şekillendirdiler.;Gazetecileri önemli röportajlarla şekillendirdiler.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];7.176381577237209e-155;0.8745;İş insanları ekonomik reformlar hakkında görüşmeler yaptılar.;Ekonomik reformlar hakkındaki görüşmeleri iş adamları yaptı.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'O', 'S', 'O', 'V'];6.433932628423997e-78;0.9469;Şairler şiir dinletilerinde izleyicilere eserlerini sundular.;Şiir dinletilerinde şairler eserlerini sundular.
E;0.0;['O', 'V', 'S', 'O', 'O', 'O'];0.0;['O', 'O', 'O', 'O', 'O', 'O', 'O', 'V', 'O'];5.30941411456236e-78;0.8863;Sosyal medya uzmanları dijital kampanyalar hakkında bilgilendirme yaptılar.;Dijital kampanyalar hakkında bilgi veren sosyal medya uzmanlarıydı.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'V'];5.230949200823748e-78;0.8707;Gönüllüler topluluk projelerinde aktif rol aldılar.;Topluluk projelerinde aktif gönüllüler.
E;0.99;['O', 'S', 'O', 'O', 'V'];0.33;['O', 'O', 'V'];6.397495320955232e-155;0.8886;Film yapımcıları uluslararası festivallere katıldılar.;Uluslararası festivallere katılırlar.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'O', 'O', 'O', 'S', 'O', 'O', 'V', 'O'];0.29558013016570783;0.9269;Spor koçları atletlerin performansını geliştirmek için özel eğitimler verdiler.;Atletlerin performansını geliştirmek için koçlar özel eğitim verdi.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.4347208719449914;0.8805;Eğitimciler teknoloji destekli öğrenme sistemleri tasarladılar.;Öğretmen ve teknoloji öğrenme sistemleri tasarladılar.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V', 'O'];0.99;['S', 'O', 'O', 'O', 'O', 'V', 'O'];0.5154486831107657;0.9763;Tarihçiler önemli arşiv belgelerini derinlemesine analiz ettiler.;Tarihçiler önemli arşiv belgelerini analiz ettiler.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V', 'O'];0.99;['S', 'O', 'O', 'O', 'O', 'V', 'O'];0.5;0.9908;Psikologlar bireysel gelişim süreçleri üzerine çalışmalar yaptılar.;Psikologlar bireysel gelişim süreci üzerine çalışmalar yaptılar.
E;0.99;['S', 'O', 'O', 'O', 'V', 'O'];0.0;['O', 'O', 'O', 'V', 'O'];0.846481724890614;0.9415;Programcılar yapay zeka algoritmalarını optimize ettiler.;Yapay zeka algoritmalarını optimize ettiler.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'V', 'O', 'O', 'O'];0.43167001068522526;0.9575;Tasarımcılar yeni grafik trendlerini incelerek projelerini güncellediler.;Tasarımcılar yeni grafik trendlerini incelediler ve projelerini güncellediler.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'O', 'S', 'O', 'O', 'V'];1.0905741632475476e-154;0.8952;Ressamlar sanat galerilerinde yeni eserlerini sergilediler.;Sanat galerilerinde ressamlar yeni sanatlarını sergilediler.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'O', 'V'];5.30941411456236e-78;0.9045;Üreticiler çevre dostu materyaller kullanarak inovatif çözümler geliştirdiler.;İnovatif çözümler geliştirdiler, çevre dostu materyaller kullandılar.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'S', 'O', 'O', 'V'];1.0962103931192249e-154;0.8959;Müzisyenler kültürel etkinliklerde farklı melodiler sundular.;Farklı melodiler, müzisyenler, kültürel etkinliklerde sundular.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];0.36741454942156665;0.9132;Hukuk uzmanları yeni yasaları değerlendirerek akademik makaleler yazdılar.;Yeni yasaları değerlendirirken akademik makaleler yazdılar.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.0;['O', 'O', 'O', 'O', 'O', 'O', 'V', 'S'];7.241926111174567e-155;0.8768;Astronomlar uzay keşifleri üzerine kapsamlı raporlar hazırladılar.;Uzay keşfi hakkında çok detaylı raporlar hazırladılar, astronomlar.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];7.711523862191631e-155;0.9252;Ekonomistler piyasadaki değişimleri analiz ederek tahminler yaptılar.;ekonomistler piyasanın değişimlerini analiz ederek tahminlerde bulundular.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'V'];0.6240195441936914;0.9264;Genç girişimciler kendi markalarını yaratmak için çalışmalar yürüttüler.;Genç girişimciler kendi markalarını yaratmak için çalıştılar.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];7.241926111174567e-155;0.8123;Fotoğrafçılar şehir manzaralarını yakalayarak sergiler düzenlediler.;Şehir manzaralarını fotoğraflayan ve sergiler açan fotoğrafçılar olarak birleştiler.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];8.57273414893938e-155;0.8039;Eğitmenler kişisel gelişim seminerlerinde motivasyon konuşmaları yaptılar.;Motivasyon konuşmaları, eğitmen seminerlerinde, kişisel gelişim konuşmalarında yapılır.
E;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];7.629999090858336e-155;0.9220;Mutfak şefleri restoranlarda özel menüler oluşturdular.;Restoranların şefleri özel menüler oluştururlar.
E;0.99;['S', 'O', 'O', 'O', 'O', 'O', 'V'];0.66;['S', 'V', 'O', 'O', 'O'];0.34329452398451965;0.9396;Üniversiteler akademik konferanslarla bilim insanlarını bir araya getirdiler.;Üniversiteler bilim adamlarını akademik konferanslarda bir araya getirdiler.
E;0.99;['O', 'S', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'V'];0.5115078115793242;0.9458;Spor analistleri takımların performansını detaylıca değerlendirdiler.;Spor analistleri takımların performansını değerlendirdiler.
E;0.99;['S', 'O', 'O', 'O', 'O', 'V'];0.33;['O', 'O', 'O', 'O', 'O', 'V'];5.705336763108155e-78;0.8579;Diplomatlar uluslararası ilişkiler üzerine toplantılar gerçekleştirdiler.;Uluslararası ilişkiler üzerine diplomatlar toplantısı yaptılar.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.4671379777282001;0.9198;Çevre mühendisleri sürdürülebilir enerji çözümleri üzerine öneriler sundular.;Çevre mühendisleri sürdürülebilir enerji çözümleri için önerilerde bulundular.
E;0.99;['O', 'S', 'O', 'O', 'O', 'S', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'V'];5.185404073830853e-78;0.9346;Sanat koleksiyoncuları müzayede etkinliklerinde özel eserler satın aldılar.;Sanat koleksiyoncuları müzayedelerde özel eserleri satın aldılar.
E;0.99;['S', 'O', 'O', 'O', 'V', 'O'];0.33;['O', 'O', 'O', 'O', 'V'];7.629999090858336e-155;0.8247;Veterinerler hayvan sağlığı üzerine bilgilendirme yaptılar.;Hayvan sağlığı konusunda bilgili veterinerler.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];4.751072498959554e-78;0.9057;Otomotiv tasarımcıları yeni araç modelleri geliştirmek için çalışmalar yürüttüler.;Otomotiv tasarımcıları yeni araçlar modeli geliştirmek için çalışıyordu.
E;0.99;['O', 'O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'O', 'S', 'O', 'O', 'O', 'O', 'V'];0.7071067811865475;0.9917;Bilgi güvenliği uzmanları siber tehditleri analiz ederek önlemler aldılar.;Bilgi güvenliği uzmanları siber tehditleri analiz ederek önlem aldılar.
E;0.99;['O', 'S', 'O', 'O', 'O', 'O', 'O', 'V'];0.99;['O', 'O', 'O', 'O', 'S', 'O', 'O', 'V', 'O'];9.860044343608264e-155;0.8702;Topluluk liderleri yerel projeleri destekleyerek toplumun gelişimine katkı sağladılar.;Yerel projeleri destekleyen topluluk liderleri, toplumun gelişimine katkıda bulundular.
E;0.0;['O', 'O', 'O', 'O', 'O', 'O', 'V', 'O'];0.33;['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'V'];4.661032518640916e-78;0.8679;Gezi rehberleri turistlere kültürel miras hakkında rehberlik ettiler.;Turistlere kültürel miras konusunda rehberlik etmek için gezi rehberleri kullandılar.
